"bearing_1","bearing_2","bearing_3","bearing_4","bearing_5","bearing_6"
-1,268.74,227.4,-1,206.04,-1
274.76,264.55,225.26,238.73,205.51,-1
-1,355.01,-1,243.46,-1,-1
-1,-1,297.08,-1,292.55,-1
-1,262.6,235.65,-1,211.37,-1
102.46,105.12,106.74,103.03,106.32,123
269.63,261.3,243.94,247.71,229.01,-1
-1,-1,277.68,262.76,240.24,-1
296.88,283.84,276.31,-1,240.77,-1
295.8,158.54,-1,120.02,111,-1
296.19,284.79,277.61,264.21,239.96,239.12
295.88,286.87,278.63,-1,249.6,-1
-1,-1,-1,320.56,53.07,-1
-1,-1,-1,-1,43.79,163.34
107.13,281.39,271.43,247.9,210.64,210.54
-1,110.6,132.24,-1,243.02,239.72
291.2,-1,277.01,262.82,249.38,-1
113.53,127.3,133.11,-1,-1,-1
-1,137.37,239.2,194.45,-1,-1
101.01,110.39,116.21,109.29,108.48,-1
104.55,112.83,116.16,-1,110.02,-1
287.85,280.89,280.2,269,264.72,261.94
289.84,111.88,291.78,103.21,97.05,126.01
-1,-1,119.79,106.41,110.1,-1
105.95,109.33,-1,-1,-1,-1
291.5,281.05,271.39,262.53,246.35,239.01
298.35,-1,299.48,-1,-1,-1
103.45,106.34,114.61,107.76,113.09,129.82
-1,342.59,283.42,-1,-1,-1
9.06,113.82,117.1,-1,-1,-1
106.84,117.67,122.23,115.9,124.51,134
293.72,281.63,-1,-1,-1,-1
-1,-1,-1,122.65,125.04,-1
-1,112.72,116.24,105.91,108.05,-1
-1,82.01,267.09,-1,274.94,-1
300.12,112.18,117.2,100.77,-1,-1
-1,-1,249.59,-1,39.43,-1
291.09,80.99,10.05,-1,-1,-1
303.52,341.49,234.15,-1,-1,-1
10.48,342.69,12.85,313.34,-1,-1
356.97,272.62,263.68,256.69,233.05,-1
293.82,148.73,298.19,286.46,-1,-1
287.78,273.99,256.15,256,232.67,-1
-1,-1,244.09,150.9,217.41,-1
286.59,275.28,-1,256.64,219.07,-1
288.49,272.42,105.5,247.65,214.94,-1
