"RMS_received_1","RMS_received_2","RMS_received_3","RMS_received_4","RMS_received_5","RMS_received_6"
NA,NA,74.63,NA,73.54,NA
NA,79.44,80.26,NA,75.88,NA
76.24,77.78,76.32,78.38,80.69,81.84
79.91,81.52,84.77,77.15,75.89,NA
NA,NA,89.31,82.5,84.78,NA
83.8,81.8,87.39,NA,82.16,NA
85.19,84.13,85.82,82.53,82.35,77.34
87.13,79.82,87.51,NA,82.32,NA
NA,NA,NA,104.95,112.97,NA
NA,NA,NA,NA,106.69,104.98
89.58,87.56,91.89,80.78,83,80.1
78.95,NA,83.21,76.39,72.96,NA
75.47,72.99,71.57,NA,NA,NA
77.24,80.08,72.03,73.02,72.72,NA
76.54,79.68,71.36,NA,70.91,NA
85.7,83.57,85.95,83.49,78.31,75.74
NA,NA,75.84,79.14,77.83,NA
73,75.91,NA,NA,NA,NA
85.55,84.71,89.72,83.67,84.77,80.4
80.41,83.73,75.33,76.47,75.16,76.78
89.03,85.14,78.9,NA,NA,NA
82.87,86.56,87.92,80.95,88.4,81.13
82.99,78.64,NA,NA,NA,NA
NA,82.28,70.83,74.8,71.94,NA
82.67,92.46,82.14,NA,NA,NA
94.27,92.83,97.95,72.91,NA,NA
92.85,82.14,86.34,83.89,81.14,NA
76.12,74.39,76.52,74.71,NA,NA
86.06,82.89,85.42,83.49,81.66,NA
87.95,84.33,NA,85.17,76.9,NA
84.38,82.15,73.99,80.52,80.7,NA
74.53,73.98,75.94,74.91,NA,NA
84.56,88.81,89.24,NA,96.71,85.52
72.35,75.97,74.83,NA,NA,NA
77.04,77.69,77.01,78.76,77.39,NA
NA,77.45,75.41,NA,NA,NA
NA,84.12,NA,80.29,83.74,NA
82.96,77.12,79,NA,78.75,NA
NA,NA,96.48,NA,107.97,104.67
88.62,88.86,94.2,97.46,NA,NA
NA,NA,NA,81.65,82.94,NA
80.42,NA,79.61,NA,NA,NA
76.18,71.45,78.22,NA,NA,NA
88.21,85.03,NA,NA,NA,NA
NA,NA,NA,NA,84.97,81.83
NA,81.74,78.68,80.15,78.21,NA
87.17,83.99,86.91,84.96,81.38,NA
90.22,76.63,NA,90.76,93.26,81.14
87.69,85.05,NA,84.73,NA,NA
NA,78.08,NA,78.44,NA,NA
77.33,78.89,77.58,76.77,74.82,NA
NA,76.35,NA,80.01,NA,NA
NA,84.79,NA,78.73,81.75,NA
80.9,84.31,77.18,83.61,83.87,NA
87.01,NA,75.16,84.58,87.1,85.51
NA,NA,71.32,71.42,73.7,NA
88.05,88.87,84.73,70.28,89.52,85.44
NA,NA,NA,NA,88.55,84.9
NA,88.6,92.25,87.93,85.68,NA
NA,86.11,NA,82.93,89.01,81.45
82.95,83.48,92.05,87.67,77.58,NA
79.62,78.94,82.83,86.18,81.97,NA
NA,NA,NA,87.1,85.52,NA
75.95,79.51,NA,NA,NA,NA
89.26,90.75,97.81,85.76,90.23,99.62
96.39,96.1,72.77,96.71,NA,NA
NA,86.03,81.3,80.37,NA,NA
83.91,81.75,NA,NA,NA,NA
89.36,85.64,86.09,80.82,84.65,82.38
NA,73.66,83.02,79.92,NA,NA
97.41,84.65,82.32,NA,85.17,NA
81.6,86.79,81.72,81.14,78.83,81.92
87.65,NA,91.71,87.93,88.6,NA
85.7,74.83,NA,85.35,87.21,85.28
84.12,83.55,NA,80.28,81.54,NA
84.26,NA,84.1,NA,78.54,NA
81.35,78.84,76.22,NA,NA,NA
78.32,88.82,NA,79.74,NA,NA
94.69,86.15,86.34,82.85,85.32,NA
NA,NA,85.73,NA,84.05,NA
NA,74.79,78.63,74.85,78.64,NA
86.08,84.35,85.93,NA,NA,NA
NA,NA,NA,82.47,81.23,77.13
84.31,NA,79.48,NA,78.31,NA
81.78,77.09,78.64,80.47,NA,NA
79.28,78.32,81.75,76.62,74.5,NA
86.98,80.34,79.5,81.77,81.01,74.26
NA,NA,85,NA,76.67,NA
NA,81.45,NA,77.14,NA,NA
NA,73.38,77.33,NA,NA,NA
81.95,79.26,85.53,NA,77.17,NA
