"RMS_received_1","RMS_received_2","RMS_received_3","RMS_received_4","RMS_received_5","RMS_received_6"
77.24,74.69,73.94,78.31,NA,NA
84.77,NA,84.8,NA,NA,NA
NA,84.84,86.09,81.73,NA,NA
NA,NA,NA,NA,82.5,78.59
NA,80.57,NA,79.06,82.07,79.7
94.84,86.41,85.4,83.52,65.89,NA
NA,78.29,77.03,76.53,NA,NA
81.89,77.59,77.53,NA,74.56,NA
99.62,93.7,89.05,89.37,87.13,83.44
98.23,92.22,89.44,86.71,85.84,NA
84.7,NA,82.27,NA,80.01,NA
83.42,86.49,NA,NA,NA,NA
82.68,86.02,91.17,80.94,81.67,NA
96.59,91.58,87.22,86.07,NA,NA
84.31,NA,80.99,NA,84.42,NA
81.38,78.6,76.74,81.56,79.83,76.48
79.51,83.05,79.96,79.26,78.6,NA
NA,81.87,79.03,78.31,76.9,NA
79.34,79.31,NA,NA,NA,NA
79.98,NA,80.42,NA,NA,NA
78.39,76.54,76.42,NA,NA,NA
83.12,85.14,NA,NA,NA,NA
82.44,86.07,NA,NA,NA,NA
75.06,78.02,75.54,77.55,78.34,NA
NA,NA,NA,89.89,90.77,87.42
88.99,81.36,74.96,83.39,78.27,81.8
89.23,85.28,81.96,88.17,86.64,84.56
83.12,NA,79.15,NA,NA,NA
NA,NA,79.31,77.59,NA,NA
NA,79.44,76.47,73.39,74.12,NA
86.72,NA,84.66,NA,NA,NA
NA,70.26,80.63,NA,NA,NA
78.18,NA,75.51,NA,74.79,NA
95.85,90.78,87.97,85.89,82.55,78.93
82.91,74.61,80.32,NA,NA,NA
NA,NA,NA,87.24,86.52,80.11
86.32,85.75,85.21,87.88,84.29,82.28
78.59,81.46,77.63,76.44,NA,NA
81.84,NA,75.7,NA,NA,NA
80.56,83.3,NA,NA,NA,NA
84.97,NA,82.57,NA,NA,NA
91.3,NA,80.23,80.4,78.49,NA
80.16,90.57,NA,76.51,NA,NA
NA,76.46,87.31,NA,77.73,NA
NA,NA,NA,85.8,85.48,NA
NA,85,81.57,NA,NA,NA
84.96,NA,77.08,78.29,78.67,NA
75.18,77.05,76.22,75.46,NA,NA
NA,80.15,79.95,NA,NA,NA
90.62,82.5,82.26,86.94,78.86,80.45
85.15,79.14,71.8,78.67,NA,NA
79.82,NA,80.73,NA,83.93,NA
NA,78.47,79.83,NA,76.58,NA
82.08,77.77,77.31,NA,NA,NA
NA,78.9,84.7,82.32,NA,NA
83.51,79.3,NA,NA,NA,NA
NA,NA,85.43,82.1,79.69,NA
NA,81.38,81.25,84.84,84.96,89.3
80.57,80.95,79.9,NA,NA,NA
84.42,81.98,NA,NA,NA,NA
83.23,82.36,NA,NA,NA,NA
80.43,81.02,NA,NA,NA,NA
NA,NA,NA,75.18,80.71,NA
89.02,86.31,NA,81.58,83.36,NA
NA,81.86,76.5,NA,76.05,NA
84.97,87.93,84.6,78.55,87.48,86.83
75.15,76.22,74.81,80.53,74.39,NA
82.49,NA,77.26,83.86,78.84,78.38
83.58,83.14,80.15,80.89,83.19,81.45
NA,NA,78.05,NA,73.4,73.75
NA,80.28,77.72,77.61,NA,NA
90.63,84.44,90.94,84.3,83.64,NA
NA,84.4,88.13,83.77,80.63,80.54
84.83,89.09,85.25,76.51,89.25,89.41
85.66,NA,87.19,NA,79.99,NA
NA,86.79,NA,84.13,NA,NA
86.64,78.13,87.51,76.25,NA,NA
88.82,78.99,86.25,NA,79.02,NA
77.15,NA,76.31,79.71,77.25,NA
NA,80.56,NA,79.85,81.37,NA
NA,76.12,75.66,75.72,77.41,NA
NA,86.66,88.84,85.89,86.67,82.67
90.42,93.96,96.63,89.42,84.3,79.02
NA,NA,86.29,NA,91.62,91.82
91.42,92.21,98.06,82.92,89.35,82.2
78.86,NA,78.43,NA,79.83,NA
99.84,90.86,90.18,84.8,84.2,NA
93.33,87.06,95.73,84.81,88.75,NA
89.04,83.27,80.34,81.01,88.98,82.4
75.42,90.99,99.27,86.45,NA,NA
92.57,NA,71.27,NA,67.89,NA
NA,88.55,90.59,84.78,84.66,NA
90.32,76.58,88.36,NA,83.48,79.6
NA,NA,NA,81.1,83.7,NA
NA,89.15,79.71,79.05,NA,NA
NA,NA,NA,85.86,73.6,NA
84.52,84.52,84.39,84.42,NA,NA
91.55,NA,86.26,NA,88.41,88.09
NA,NA,NA,79.38,78.83,NA
89,92.1,88.72,NA,88.65,90.42
85.94,77.76,79.25,92.02,88.91,NA
84,82.31,85.61,82.05,NA,NA
91.12,86.25,NA,NA,NA,NA
85.94,NA,87.92,80.35,82.89,NA
84.66,90.63,94.29,85.19,82.67,77.9
86.53,NA,88.85,NA,83.33,NA
NA,89.36,NA,86.85,NA,NA
75.63,92.78,81.31,90.09,76.49,NA
NA,NA,NA,NA,87.86,78.64
88.36,NA,90.21,NA,NA,NA
NA,87,90.03,82.77,89.13,84.41
77.57,85.02,NA,NA,NA,NA
89.54,82.09,78.84,78.9,75.72,NA
NA,NA,91.73,85.43,88.01,83.06
88.81,NA,91.4,NA,83.96,79.36
82.84,80.54,NA,NA,NA,NA
NA,NA,NA,76.66,79.17,NA
92.82,84.26,NA,NA,NA,NA
93.77,86.86,NA,77.59,85.91,81.32
91.44,81.08,NA,74.9,NA,NA
90.77,NA,82.85,84.94,79.51,81.07
NA,NA,81.67,77.2,NA,NA
86.43,84.9,87.31,78.62,NA,NA
83.82,80.76,83.37,81.26,79.62,NA
87,84.63,86.9,NA,81.59,NA
85.4,85.96,81.88,74.14,83.42,82.33
87.8,86.08,83.05,85.06,NA,NA
92.25,83.79,82.81,79.21,NA,NA
78.17,NA,79.7,NA,77.59,NA
87.6,81.85,80.71,78.96,NA,NA
85.06,75.89,82.76,NA,78.6,NA
85.3,79.98,80.63,NA,77.27,NA
89.09,87.39,88.36,80.78,88.92,NA
76.54,NA,80.6,NA,NA,NA
84.32,83.92,83.95,80.66,82.19,NA
NA,90.13,NA,76.36,NA,NA
NA,NA,NA,NA,81.54,82.13
83.13,78.63,85.03,78.54,NA,NA
84.28,83.57,85.22,78.78,NA,NA
85.83,79.89,83.98,81.47,80.53,NA
86.26,79.07,89.01,NA,84.69,NA
NA,85.77,80.12,74.66,77.93,NA
82.14,82.59,78.2,NA,NA,NA
74.81,75.99,75.49,79.16,79.21,NA
79.09,84.73,78.15,79.29,80.84,82.5
75.96,76.25,NA,80.27,76.46,NA
84.51,88.19,NA,NA,NA,NA
84.67,82.6,82.67,NA,NA,NA
81.42,83.49,NA,80.4,NA,NA
84.42,NA,83.64,81.47,80.65,NA
84.16,NA,83.07,NA,76.95,NA
78.66,84.29,79.21,77.31,80.6,82.8
85.66,80.96,84.44,78.92,82.05,NA
85.13,84.46,84.37,85.66,NA,NA
82.82,85.19,81.47,81.23,NA,NA
83.85,80.61,81.82,77.66,NA,NA
87.12,87.35,NA,NA,NA,NA
78.84,81.77,80.21,80.24,76.18,77.12
86.13,85.54,82.54,NA,NA,NA
86.91,85.14,82.35,79.8,NA,NA
NA,NA,NA,74.9,76.45,74.82
82,82.73,NA,NA,NA,NA
79.77,78.63,78.26,87.53,76.43,NA
NA,NA,83.18,NA,76.24,78.89
86.92,85.1,76.8,77.98,79.65,NA
NA,NA,83.15,79.5,78.46,NA
90.4,88.08,87.66,79.96,81.22,NA
81.56,76.86,78.84,76.34,77.15,NA
83.91,81.5,82.06,79.46,NA,NA
84.58,80.96,82.35,79.59,78.61,NA
83.04,84.97,83.55,NA,77.48,NA
75.84,74.45,NA,NA,NA,NA
79.36,81.39,NA,77.77,NA,NA
87.76,87.32,88.62,86.67,NA,NA
86.18,83.77,84.7,82.12,82.79,NA
79.7,90.76,93.17,90.15,90.75,86.34
78.67,83.59,80.86,79.16,76.11,77.48
79.45,78.49,77.69,81.13,76.18,74.67
77.28,78.54,NA,NA,NA,NA
NA,NA,80.66,85.14,77.34,80.36
NA,NA,77.38,NA,76.63,NA
NA,80.76,79.38,78.23,NA,NA
80.55,83.22,80.88,78.94,81.42,NA
80.59,82.81,81.43,78.04,NA,NA
79.05,79.78,NA,NA,NA,NA
NA,81.94,80.9,NA,NA,NA
83.98,82.94,80.72,NA,NA,NA
84.49,81.24,NA,NA,NA,NA
NA,75.07,76.34,NA,75.79,79.29
NA,85.27,82.48,NA,NA,NA
78.52,NA,85.63,NA,NA,NA
81.47,80.6,88.22,78.37,83.51,NA
85.87,NA,81.62,NA,NA,NA
NA,86.96,NA,80.93,80.84,NA
NA,83.9,NA,83.62,NA,NA
NA,82.4,NA,77.57,NA,NA
NA,NA,NA,78.44,75.5,NA
85.63,83.66,NA,79.79,NA,NA
82.49,NA,86.87,NA,NA,NA
85.4,83.18,83.97,81.46,82.46,NA
NA,NA,NA,NA,73.23,75.6
NA,NA,79.2,79.98,NA,NA
82,NA,81.85,81.6,NA,NA
82.09,NA,85.31,NA,76.44,NA
85.91,84.57,83.57,81.79,82.55,NA
83.92,78.24,80.65,75.49,NA,NA
86.28,84.65,83.33,NA,83.36,NA
NA,85.05,84.49,85.61,79.58,78.96
86.82,83.35,82.43,81.42,82.56,NA
89.49,89.3,83.26,85.6,80.38,79.86
80.83,88.97,84.72,NA,NA,NA
91.24,91.57,94.33,84.82,88.51,84.92
NA,86.54,NA,81.67,NA,NA
91.5,90.86,92.88,81.83,88.83,82.85
NA,NA,89.07,NA,80.86,NA
86.78,88.11,79.23,83.59,NA,NA
91.04,89.52,92.54,80.21,86.67,83.68
NA,NA,85.75,NA,78.59,NA
86.93,88.71,90.16,84.99,88.09,NA
89.64,90.26,NA,91.33,NA,NA
74.79,90.21,92.88,83.66,90.64,NA
66.13,65.18,88.33,67.31,89.86,69.58
78.02,75.03,95.88,NA,86.93,81.86
86.9,90.79,NA,84.88,NA,NA
NA,83.36,85.12,NA,NA,NA
78.51,80.1,78.04,83.36,83.85,82.68
NA,91.11,NA,92.48,92.13,NA
92.32,93.36,89.99,NA,77.53,88.7
92.55,88.11,81.74,88.14,86.34,84.72
86.03,85.54,80.67,81.54,NA,NA
82.04,79.53,87.42,NA,78.43,80.08
84.93,81.56,NA,79.87,80.71,NA
91.77,NA,87.29,NA,NA,NA
NA,88.5,91.72,84.36,88.77,76.42
NA,86.94,90.79,NA,80.61,82.03
88.64,NA,85.39,85.94,NA,NA
89.17,90.73,93.96,87.4,90.54,80.31
NA,NA,NA,NA,90.35,81.47
88.45,89.44,80.83,NA,82.6,80.51
90.31,87.27,90.72,83.97,NA,NA
85.87,87.33,81.66,82.09,NA,NA
81.92,86.22,81.74,NA,NA,NA
NA,88.66,NA,94.66,NA,NA
NA,NA,NA,77.82,76.29,78.3
90.64,89.88,85.19,NA,92.4,83.97
87.65,81.77,NA,84.81,83.09,81.34
94.03,90.19,93.41,85.36,87.96,NA
84.83,84.59,79.72,79.46,NA,NA
87.58,90.12,81.38,87.85,NA,NA
88,78.04,96.61,83.16,80.55,NA
NA,NA,NA,74.14,87.85,81.52
79.95,NA,88.23,80.1,82.34,NA
89.07,88.02,NA,87.49,NA,NA
NA,80.04,NA,79.97,NA,NA
82.33,80.14,84.02,NA,NA,NA
85.2,NA,78.35,NA,NA,NA
89.12,89.29,80.54,91.98,NA,NA
NA,NA,84.91,NA,90.97,89.18
NA,78.08,NA,83.83,NA,NA
NA,NA,NA,89.04,81.43,78.9
NA,NA,NA,NA,88.14,86.49
NA,NA,84.57,NA,84.31,NA
85.12,80.54,80.08,79.81,NA,NA
85.5,88.03,NA,81.86,NA,NA
NA,74.78,76.76,NA,NA,NA
98.31,91.28,93.57,87.67,90.36,87.15
85.48,82,80.84,86.14,84.76,NA
80.14,71.88,76.26,NA,NA,NA
87.52,NA,87.68,NA,88.1,NA
88.96,83.12,85.35,83.04,81.97,NA
88.88,88.84,84.96,89.98,NA,NA
90.86,91.73,85.3,92.78,90.53,78.87
75.72,74.99,79.35,73.82,74.57,NA
NA,NA,89.18,83.38,93.16,87.55
91.91,88.26,87.5,90.05,87.66,85.64
90.2,87.89,88.73,88.12,81.95,84.95
86.13,80.68,84.83,79.35,84.83,NA
84.67,NA,86.55,85.08,NA,NA
83.67,86.76,80.93,79.14,NA,NA
80.69,81.53,NA,NA,NA,NA
84.66,81.85,NA,78.94,NA,NA
NA,NA,NA,79.33,82.65,NA
84.87,79.26,82.36,79.86,82.23,NA
83.47,83.14,84.41,77.08,84.85,NA
83.88,NA,83.06,NA,78.36,NA
79.86,77.49,81,NA,NA,NA
NA,NA,NA,84.46,79.21,NA
91.76,89.8,87.71,93.42,92.24,88.4
NA,90.56,87.13,NA,78.58,NA
99.31,92.18,92.75,87.87,87.5,83.12
76.27,80.54,77.98,77.78,NA,NA
86.6,88.93,84.39,86.11,85.46,83.29
82.5,80.4,87.77,83.74,NA,NA
88.36,80.67,82.61,NA,NA,NA
NA,84.04,NA,78.59,87.99,NA
71.71,74.14,NA,NA,NA,NA
NA,NA,NA,NA,76.45,81.95
82.79,NA,84.16,NA,NA,NA
90.95,77.5,82.55,90.13,87.36,85.42
80.38,83.52,78.63,NA,NA,NA
NA,78.38,NA,78.77,78.48,NA
77.25,79.63,75.63,81.43,77.59,76.59
83.62,NA,85.97,NA,79.75,80.77
79.35,79.82,74.74,82.54,77.12,78.06
94.03,78.81,86.82,92.44,79.24,86.82
79.55,78.02,NA,76.08,75.46,76.6
82.57,84.39,80.57,NA,NA,NA
NA,77.44,NA,81.83,NA,NA
78.54,76.87,77.91,79.44,74.86,78.33
87.41,88.85,85.62,90.2,87.75,84.33
81.66,77.35,NA,NA,NA,NA
NA,NA,NA,76.62,73.5,NA
NA,NA,NA,79.02,79.46,NA
NA,NA,77.75,NA,77.37,NA
83.08,80.96,84.45,82.24,76.18,81.3
83.26,83.35,NA,NA,NA,NA
NA,77.48,NA,78.08,77.07,NA
NA,82.13,NA,75.78,NA,NA
78.82,82.87,82.38,81.78,76.95,78.09
NA,88.12,85.05,82.55,81.77,76.89
NA,78.72,72.29,NA,NA,NA
83.39,NA,85.1,NA,NA,NA
90.95,82.79,82.74,NA,NA,NA
80.12,80.33,83.73,NA,79.52,NA
77.31,82.13,NA,NA,NA,NA
78.95,91.97,77.39,90.6,90.64,84.94
81.08,76.02,81.56,NA,NA,NA
87.03,84.03,86.55,NA,79.5,80.79
78.43,79.53,NA,82.68,NA,NA
84.09,85.15,88.74,84.66,87.38,NA
84.94,85.01,NA,86.32,82.22,78.87
86.98,78.23,81.24,NA,NA,NA
88.51,NA,89.06,91.94,NA,NA
NA,NA,81.87,NA,83.53,NA
77.99,78.61,NA,NA,NA,NA
76.3,75.74,93.44,78.59,88.4,NA
NA,NA,81.69,NA,77.5,86.58
NA,88.52,NA,85.48,NA,NA
88.45,NA,86.77,86.86,86.04,NA
80.79,89.31,78.6,NA,NA,NA
80.96,76.46,76.09,NA,74.58,NA
86.44,79.63,78.83,NA,83.7,NA
NA,NA,76.5,NA,75.04,NA
76.98,NA,75.5,NA,NA,NA
86.66,NA,84.37,NA,NA,NA
81.89,80.05,81.12,NA,NA,NA
80.22,82.24,NA,NA,NA,NA
84.63,NA,83.09,NA,77.16,NA
79.16,73.89,78.19,NA,NA,NA
NA,72.24,71.91,82.27,76.65,NA
82.39,NA,85.85,NA,NA,NA
91.88,90.95,91.39,NA,NA,NA
NA,NA,NA,80.7,88.78,82.33
NA,82.81,86.48,89.5,83.89,NA
NA,92.42,NA,81.82,NA,NA
82.96,77.52,78.53,NA,NA,NA
NA,NA,NA,NA,75.38,78.91
NA,80.17,NA,83.82,NA,NA
85.22,84.63,80.34,77.67,NA,NA
94.98,NA,94.88,NA,94.01,83.77
87.34,95.02,83.01,92.2,NA,NA
78.47,79.54,91.2,85.33,NA,NA
83.99,82.6,79.09,76.12,75.38,NA
NA,83.4,NA,84.64,81.84,NA
77.89,75.58,74.47,76.57,NA,NA
NA,NA,NA,82.66,83.33,80.4
NA,77.68,87.17,NA,NA,NA
NA,82.98,NA,83.99,82.6,81.45
NA,NA,89.25,NA,84.97,NA
NA,87.29,85.44,82.36,82.81,NA
NA,94.03,NA,87.41,85.16,NA
92.17,94.37,91.87,88.61,91.22,82.03
90.59,NA,90.49,85.3,86.55,NA
96.64,90.6,87.96,86.08,82.6,NA
85.96,NA,88.73,84.73,85.77,NA
100.15,95.82,92.39,91.1,NA,NA
NA,NA,NA,75.86,80.06,NA
80.59,80.55,102.05,83.98,84.93,NA
90.68,80.11,75.42,NA,NA,NA
NA,81.45,78.14,82.69,NA,NA
85.66,86.67,86.31,81.27,80.2,77.19
NA,83.59,82.38,NA,NA,NA
84.18,NA,81.37,82.3,79.05,NA
98.89,90.52,92.73,86.98,NA,NA
82.14,NA,86.39,81.24,86.09,79.76
NA,68.87,NA,76.97,NA,NA
85.42,80.7,74.44,NA,NA,NA
85.87,84.78,81.19,NA,NA,NA
NA,85.74,83.04,NA,81.47,NA
NA,NA,87.17,83.25,81.83,NA
NA,83.71,80.85,77.97,81.52,NA
NA,81.63,81.03,NA,77.24,NA
98.78,95.57,NA,97.24,97.92,NA
88.52,92.61,NA,87.82,NA,NA
NA,NA,NA,85.22,85.95,82.66
NA,NA,87.16,NA,84.56,NA
86.22,83.23,87.97,83.66,83.95,91.24
86.11,81.41,82.73,78.91,81.7,NA
NA,84.68,83.75,NA,82.46,NA
93.62,79.41,NA,88.58,NA,NA
NA,80.03,82.2,NA,91.66,86.92
85.27,88.73,83.8,80.02,78.93,77.82
NA,NA,88.1,NA,85.01,NA
86.57,81.54,90.84,85.22,84.9,NA
97.23,99.7,NA,94.22,90.36,85.27
83.17,82.41,81.89,NA,NA,NA
76.58,83.76,78.34,NA,71.78,NA
74.51,82.4,NA,NA,NA,NA
76.34,88.02,107.08,84.48,73.34,NA
NA,NA,NA,87.15,90.59,83.95
94.75,101.8,NA,93.15,NA,NA
79.85,80.69,94.01,83.74,76.76,NA
85.59,87.71,NA,83.88,86.63,80.52
94.63,93.33,NA,NA,NA,NA
NA,80.05,NA,91.19,92.99,88.87
NA,NA,81.45,NA,70.67,NA
85.4,87.58,83.99,79.7,NA,NA
83.15,86.11,80.57,79.21,NA,NA
85.9,NA,83.61,NA,84.16,83.29
81.87,81.83,80.09,NA,82.27,81.23
NA,93.59,NA,73.14,NA,NA
90.5,74.35,90.91,96.95,NA,NA
81.17,79.68,NA,NA,NA,NA
NA,87.59,85.56,82.35,84.76,NA
84.67,NA,84.84,NA,NA,NA
89.77,91.19,85.12,90.54,90.79,NA
86.94,NA,84.27,NA,82.19,NA
77.1,76.33,NA,78.79,78.32,74.12
NA,75.32,74.98,NA,77.52,NA
97.23,96.29,107.32,91.22,92.29,102.01
83.73,82.03,78.37,81.95,81.32,82.72
85.63,92.48,94.96,NA,NA,NA
80.63,NA,88.33,NA,78.3,NA
86.24,82.51,NA,82.22,NA,NA
NA,NA,78.71,NA,74.02,NA
86.9,83.18,87.92,NA,NA,NA
79.41,77.78,NA,86.19,NA,NA
81.65,79.64,79.62,NA,NA,NA
NA,79.99,NA,84.75,80.24,NA
NA,80.19,81.86,NA,NA,NA
91.4,88.86,92.72,87.52,88.04,83.03
84.95,84.62,87.6,NA,84.43,NA
NA,NA,NA,78.95,79.15,NA
89.87,94.54,99.71,88.8,91.74,83.62
86.26,83.67,NA,84.06,82.41,NA
NA,NA,NA,79.73,80.55,NA
91.96,88.8,96.51,89.78,74.16,NA
NA,90.61,NA,76.1,88.06,83.63
87.23,83.86,89.08,NA,NA,NA
67,66.6,79.05,NA,NA,NA
96.35,100.1,NA,NA,NA,NA
92.28,94.78,NA,90,89.51,NA
82.69,82.03,81.8,NA,NA,NA
96.29,93.78,97.76,92.1,94.92,84.59
81.74,NA,76.9,NA,NA,NA
87.34,NA,84.77,NA,78.93,NA
85.23,80.18,NA,NA,NA,NA
81.85,NA,79.1,NA,NA,NA
84.01,85.17,NA,84.86,84.17,83.99
NA,86.39,NA,86.91,81.13,NA
81.94,85.45,82.28,85.73,78.2,NA
NA,NA,NA,NA,81.05,82.52
91.31,92.54,85.32,93.65,91.07,84.41
71.92,NA,88.19,NA,NA,NA
82.52,77.23,81.2,83.25,80.69,NA
91.26,92.22,104.9,87.36,92.36,81.97
73.96,69.1,87.32,70.2,71.74,NA
NA,NA,NA,91.18,91.14,82.98
82.7,81.83,NA,NA,NA,NA
81.41,98.42,NA,93.94,98.15,87.36
88.83,NA,100.66,NA,86.48,NA
NA,81.92,NA,84.15,78.94,NA
80.18,79.4,93.46,NA,NA,NA
NA,92.43,NA,87.61,NA,NA
NA,78.82,75.94,NA,76.44,NA
77.81,81.21,77.52,NA,78,NA
NA,NA,96.19,NA,89.05,79.82
94.11,95.77,101.02,93.76,95.81,89.63
NA,95.74,109.77,NA,NA,NA
89.66,86.9,NA,87.27,NA,NA
NA,94.05,NA,92.02,NA,NA
90.72,88.45,88.05,NA,91.7,81.71
NA,84.32,NA,83.61,NA,NA
NA,89.09,107.33,86.38,NA,NA
91.99,87.72,NA,85.9,91.6,86.06
90.07,89.34,NA,NA,NA,NA
95.45,97.62,105.17,92.32,91.87,84.79
NA,97.21,91.61,NA,79.85,NA
88.96,90.96,83.85,87.51,81.42,NA
96.91,90.9,94.39,90.96,NA,NA
NA,NA,NA,NA,89.19,88.09
92.79,95.05,89.58,93.45,93.01,88.51
86.21,86.39,81.94,85.31,84.85,86.79
93.85,94.16,NA,90.5,88.19,NA
101.56,93.68,93.47,88.81,86.56,NA
NA,89.37,74.24,89.81,78.1,NA
85.64,NA,84.31,NA,NA,NA
80.74,84.68,79.43,79.01,NA,NA
86.23,NA,85.12,NA,NA,NA
89.11,91.89,87.66,85.1,81.28,NA
91.02,82.7,NA,88.62,85.82,84.09
NA,82.27,NA,80.01,78.43,NA
NA,74.18,75.81,78,NA,NA
74.65,75.03,75.74,79.28,77.37,NA
92.75,86.83,84.96,89.78,86.35,85.06
89.28,91.44,87.24,91.13,89.24,83.38
86.36,82.4,89.62,NA,81.77,NA
91.43,90.4,95.71,89.04,90.03,81.36
93.88,96.41,89.82,94,93.85,78.31
NA,78.16,79.17,80.63,NA,NA
NA,NA,NA,84.09,85.07,86.55
89.41,89.5,86.27,83.39,NA,NA
88.02,85.07,83.05,77.92,NA,NA
NA,NA,86.69,85.08,NA,NA
86.75,81.69,83,81.28,78.92,85.08
NA,NA,77.52,76.08,84.1,NA
NA,76.88,75.15,83.98,83.74,86.1
81.29,79.22,76.5,NA,NA,NA
95.12,90.75,95.82,79.54,91.7,86.88
NA,79.06,82.1,NA,NA,NA
80.76,NA,79.55,NA,NA,NA
82.53,84.59,NA,NA,NA,NA
94.19,91.83,97.31,92.77,93.65,NA
84.25,84.19,NA,NA,NA,NA
81.67,81.28,81.75,80.99,NA,NA
82.63,77.81,83.82,76.3,NA,NA
80.67,81.08,77.81,80.72,80.44,NA
72.78,NA,79.53,72.3,NA,NA
86.27,80.16,78.6,NA,NA,NA
90.64,79.52,NA,NA,NA,NA
83.1,79.84,NA,80.32,NA,NA
92.36,84.27,83.83,NA,NA,NA
NA,87.42,87.26,82.82,NA,NA
95.96,87.27,NA,NA,NA,NA
82.87,83.12,81.16,NA,NA,NA
78.67,78.19,NA,NA,NA,NA
83.84,84.68,85.18,83.88,79.15,NA
88.35,NA,87.53,84.87,NA,NA
NA,93.21,90.74,NA,88.88,NA
NA,NA,89.12,85.52,NA,NA
NA,NA,NA,89.88,87.78,93.88
85.75,86.4,NA,NA,NA,NA
95.8,NA,87.37,85.73,NA,NA
98.02,90.56,91.08,NA,85.57,NA
NA,97.13,95.2,95.9,96.11,NA
NA,NA,95.7,NA,89.46,NA
84.18,85.28,84.27,NA,89.44,86.41
74.41,74.21,74.41,89.84,NA,NA
98.04,93.25,94.87,NA,91.99,86.12
83.75,NA,96.84,NA,86.13,NA
88.28,83.58,83.98,NA,NA,NA
85.32,86.06,84.94,NA,85.15,NA
NA,77.21,NA,81.17,81.93,84.45
79.8,NA,86.23,NA,NA,NA
NA,85.71,84.16,NA,NA,NA
NA,NA,NA,87.13,83.08,NA
87.04,87.81,NA,89.23,83.47,83.49
79.34,75.72,81.11,NA,NA,NA
89.03,82.49,85.82,NA,86.41,NA
95.62,NA,89.32,NA,NA,NA
NA,87.38,90.76,87.4,87.22,82.61
95.37,NA,89.83,85.44,NA,NA
NA,84.99,85.36,78.33,82.68,NA
92.6,92.05,95.02,NA,93.07,NA
NA,94.25,NA,92.01,NA,NA
NA,87.35,NA,87.67,86.6,80.28
79.13,76.93,NA,NA,NA,NA
NA,NA,NA,80.17,81.81,NA
92.46,97.81,106.29,86.42,91.27,86.03
78.89,83.36,80.67,NA,76.18,NA
95.92,81.1,NA,NA,NA,NA
NA,90.27,NA,85.98,90.84,82.71
98.97,94.87,105.13,92.29,92.83,87.32
NA,91.43,103.8,94.09,91.1,NA
93.77,90.73,105.42,NA,91.67,83.08
76.69,79.95,NA,79.88,76.64,NA
88.4,NA,98.03,NA,NA,NA
89.98,NA,98.86,NA,NA,NA
88.61,NA,86.39,85.43,86.6,NA
95,87.69,85.92,82.6,NA,NA
94.29,NA,82.23,NA,NA,NA
93.62,91.19,104.06,90.21,90.1,NA
92.48,90.23,NA,86.89,NA,NA
90.66,80.23,81.09,79.43,NA,NA
73.91,NA,81.32,74.98,NA,NA
NA,82.19,NA,80.2,83.48,79.41
85.98,88.23,81.52,82.99,NA,NA
94.29,NA,74.37,NA,NA,NA
87.11,91.13,93.4,89.89,93.22,NA
87.66,89.61,84.64,89.91,87.76,81.91
NA,85.98,NA,89.67,NA,NA
NA,88.11,99.24,NA,85.9,NA
87.67,90.94,98.81,NA,85.21,NA
90.24,91.49,79.46,90.88,NA,NA
NA,NA,89.15,NA,91.01,86.79
89.51,91.13,NA,90.27,NA,NA
91.24,NA,98.6,NA,NA,NA
NA,NA,NA,88.93,91.33,83.21
93.3,NA,83.29,NA,86.44,NA
86.23,89.64,83.53,91.76,88.14,85.25
NA,78.21,79.5,77.54,NA,NA
93.34,91.15,100.42,88.96,94.33,NA
93.27,92.09,88.36,88.33,84.42,82.46
89.05,NA,85.64,NA,84.19,82.36
NA,83.75,NA,87.87,NA,NA
88.5,79.59,NA,NA,NA,NA
94.1,NA,100.52,NA,NA,NA
89.34,NA,85.63,NA,85.29,NA
87.17,87.33,NA,NA,NA,NA
85.58,86.21,NA,81.71,85.28,74.84
NA,80.14,83.8,85.65,79.46,NA
91.37,90.52,91.32,86.32,89.53,82.15
80.53,81.57,83.71,77.29,78.71,NA
86.16,87.77,85.04,85.53,86.34,NA
NA,NA,73.18,80.9,NA,NA
NA,80.67,80.85,85.32,78.58,NA
88.41,88.76,86.47,89.83,88.21,85.04
90.56,88.17,95.52,NA,90.86,NA
88.88,87.86,93.15,89.22,88.53,79.79
90.61,NA,90.94,88.28,89.63,81.12
79.61,81.31,NA,78.55,77.37,NA
97.76,92.79,104.18,92.58,93.88,78.84
86.18,NA,86.47,81.15,85.18,NA
87.94,NA,93.3,NA,87.29,NA
84.78,NA,91.25,81.59,87.02,NA
86.61,86.32,92.08,86.53,89.24,NA
NA,77.59,78.79,77.6,77.5,NA
NA,83.21,NA,79.86,77.11,76.26
78.42,82.77,84.59,83.02,88.21,84.07
87.16,87.52,NA,90.31,85.04,77.99
95.06,89.08,88.85,NA,NA,NA
84.25,87.69,83.55,83.29,83.55,78.83
93.69,83.08,NA,NA,NA,NA
92.68,88.27,NA,NA,NA,NA
80.64,78.1,76.68,79.54,82.41,NA
93.62,87.44,84.24,83.45,81.77,NA
84.19,88.2,81.72,84.4,84.81,83.64
93.03,83.25,NA,82.28,NA,NA
77.85,80.64,76.38,NA,NA,NA
84.51,86.11,NA,84.11,86.66,NA
94.86,86.55,NA,81.4,NA,NA
90.68,85.25,86.12,83.33,NA,NA
NA,NA,NA,NA,86.38,77.25
84.96,NA,86.16,NA,82.89,81.02
86.86,77.45,NA,NA,NA,NA
