"bearing_1","bearing_2","bearing_3","bearing_4","bearing_5","bearing_6"
245.82,252.3,168.66,237.35,192.94,211.38
301.29,NA,292.26,276.12,NA,NA
NA,98.91,NA,101.83,NA,NA
97.77,283.13,NA,108.44,NA,NA
NA,101.74,91.66,100.55,163.81,126.81
NA,NA,227.63,242.53,206.69,NA
NA,340.42,8.39,NA,NA,NA
283.65,298.48,260.65,262.94,191.35,211.75
92.5,NA,106.45,97.68,103.91,123.74
116.5,161.42,NA,NA,NA,NA
116.27,NA,146.41,NA,121.94,134.35
NA,265.53,234.33,NA,NA,NA
79.12,190.94,137.82,NA,NA,NA
288.5,NA,258.62,NA,231.41,NA
NA,191.98,139.29,NA,NA,NA
80.98,192.19,137.36,NA,NA,NA
97.55,101.01,NA,95.95,98.41,NA
NA,279.21,NA,264.98,253.76,NA
282.81,NA,260.39,NA,NA,NA
99.53,102.41,146.72,NA,27.35,NA
NA,341.07,NA,315.01,276.06,NA
NA,158.44,145.68,164.4,147.03,NA
105.12,149.95,229.57,160.58,121.83,NA
280.72,266.26,NA,242.8,NA,NA
NA,271.41,NA,245.99,NA,NA
281.36,266.11,230.83,243.16,211.86,212.17
NA,197.46,NA,315.33,7.31,NA
NA,NA,NA,NA,103.26,128.49
NA,100.32,107.28,99.12,106.65,123.62
NA,255.51,NA,233.19,NA,NA
NA,NA,243.26,NA,211.66,205.91
NA,338.94,NA,315.57,NA,NA
299.55,275,122.33,NA,122.03,145.37
NA,NA,NA,247.95,216.3,NA
299.88,275.63,246.15,252.15,212.81,NA
NA,NA,9.01,317.22,NA,NA
NA,NA,91.33,NA,84.81,104.32
NA,312.45,NA,303.78,NA,NA
297.26,NA,243.54,NA,NA,NA
109.97,118.67,123.4,118.32,123.19,140.43
NA,NA,NA,285.48,237.24,NA
307,NA,305.18,278.42,NA,NA
103.35,113.16,120.84,NA,NA,NA
NA,97.82,110.54,98.73,NA,NA
113.7,110.55,123.54,345.83,NA,NA
99.53,117.73,44.3,NA,123.45,138.79
9.81,339.73,NA,NA,NA,NA
7.59,338.71,6.49,314.93,20.82,NA
4.91,338.03,6,316.34,NA,NA
294.88,NA,275.81,NA,244.88,NA
109.59,130.69,126.91,123.19,123.9,142.8
NA,NA,145.33,171.9,NA,NA
119.86,159.18,144.28,167.5,151.24,231.92
112.48,121.97,120.89,NA,NA,NA
286.15,NA,260.56,NA,NA,NA
NA,323.03,350.03,NA,NA,NA
NA,NA,313.86,291.57,NA,NA
291.23,NA,254.44,NA,220.72,NA
290.18,269.5,NA,NA,NA,NA
292.83,NA,255.19,NA,NA,NA
289.57,276.68,250.11,NA,NA,NA
291.51,271.59,246.26,NA,NA,NA
108.62,NA,4.9,315.24,18.55,NA
NA,302.26,299.38,293.71,NA,NA
112.12,241.37,123.1,NA,NA,NA
279.3,294.37,297.19,289.71,NA,NA
6.02,339.78,NA,NA,NA,NA
5.25,338.54,3.79,314.39,20.12,NA
94.08,94.9,NA,96.82,NA,NA
NA,NA,103.73,239.79,191.49,120.68
300.96,NA,243.58,NA,212.76,NA
298.43,NA,241.37,NA,NA,NA
297.18,NA,240.51,NA,NA,NA
103.31,NA,265.87,NA,252.33,NA
282.13,275.39,NA,259.73,NA,NA
18.94,314.45,97.2,235.31,159.61,NA
NA,278.44,130.56,290.75,NA,NA
304.6,96.14,117.55,260.35,111,125.69
93.52,101.11,NA,101.5,103.2,121.25
288.07,NA,77.81,NA,244.03,243.69
