pos	ID	unit	st	end	days	utmx	utmy	lat	long	z	comments	year	site
D	S408D0	16	2008-08-20 09:30:16	2008-10-05 10:00:16	46.0208355555587	554036.922872601	7805073.87881901	70.3458	145.5604	32.6	Sensor inconsistency => manual data OK, no automated analysis	2008	4
E	S408E0	9	2008-08-20 10:15:24	2008-10-05 07:38:59	45.8913817283974	547850.033171229	7808338.09949407	70.3763	145.7233	32.6	NA	2008	4
F	S408F0	38	2008-08-20 11:15:22	2008-10-05 09:25:33	45.9237451851877	553987.099561176	7812028.30294551	70.4081	145.5573	39.3	NA	2008	4
G	S408G0	25	2008-08-20 11:55:16	2008-10-05 09:18:51	45.8913817283974	547693.984044966	7815384.79584285	70.4395	145.7235	39	NA	2008	4
A	S409A0	15	2009-08-19 20:00:24	2009-10-02 10:12:00	43.5913888888899	548194	7794342	70.2508	145.722	28.6	NA	2009	4
B	S409B0	31	2009-08-19 20:00:19	2009-10-02 10:54:59	43.6213078703659	554193	7797983	70.2822	145.5607	36.7	NA	2009	4
C	S409C0	40	2009-08-19 21:00:17	2009-10-02 09:33:59	43.5234143518464	548048	7801350	70.3136	145.722	34.6	NA	2009	4
D	S409D0	28	2009-08-19 23:00:21	2009-10-02 11:57:00	43.5393287037077	554030	7805009	70.3452	145.5606	34.7	NA	2009	4
E	S409E0	13	2009-08-20 01:00:26	2009-10-02 08:35:59	43.3163657407349	547794	7808393	70.3768	145.7248	36.3	NA	2009	4
F	S409F0	44	2009-08-20 01:00:18	2009-10-02 12:55:00	43.4963194444426	553997	7812038	70.4082	145.557	37	Determined to have bad bearings in 2016.  Detection on both, localization on neither	2009	4
G	S409G0	23	2009-08-20 02:00:19	2009-10-02 07:34:00	43.2317129629664	547798	7815475	70.4403	145.7207	39.6	NA	2009	4
A	S410A0	12	2010-08-12 05:30:23	2010-10-03 17:13:00	52.4879166666724	548177	7794403	70.2513	145.7224	25	NA	2010	4
B	S410B0	11	2010-08-12 01:00:17	2010-10-03 16:25:00	52.6421643518552	554174	7797962	70.282	145.5612	30.5	NA	2010	4
C	S410C0	16	2010-08-12 05:00:21	2010-10-03 15:26:00	52.4344791666663	548015	7801383	70.3139	145.7228	30.3	NA	2010	4
D	S410D0	17	2010-08-12 01:20:24	2010-10-03 14:39:59	52.5552777777775	554040	7805054	70.3456	145.5603	32.7	NA	2010	4
E	S410E0	10	2010-08-12 02:15:24	2010-10-03 12:24:00	52.4226388888928	547849	7808418	70.377	145.7233	33.5	NA	2010	4
